mine_id,date,last_yr_viols,last_yr_penals,avg_last_3yr_viols,avg_last_3yr_penals,accident_label
4608791, 2000-3-01,61,3973,20.33,1324.33,0
4608791, 2000-6-01,78,5154,25.99,1717.99,0
4608791, 2000-9-01,86,5679,28.66,1892.99,0
4608791, 2000-11-01,83,5614,30,2022.99,0
4608791, 2001-3-01,112,14680,52.33,5855.33,0
4608791, 2001-6-01,143,30151,72.67,11713.34,0
4608791, 2001-9-01,204,41222,96,15568.66,0
4608791, 2001-11-01,251,52194,113,19356,0
4608791, 2002-3-01,351,59795,161,23345,0
4608791, 2002-6-01,327,39880,177,24432.99,0
4608791, 2002-9-01,274,33386,177,24432.99,0
4608791, 2002-11-01,214,19910,174.67,24281.33,0
4608791, 2003-3-01,89,6345,162,23470.99,0
4608791, 2003-6-01,0,0,152.01,22770,0
4608791, 2003-9-01,0,0,149.01,22605,0
4608791, 2003-11-01,0,0,147.67,22475,0
4608791, 2004-3-01,9,1546,136,21534.99,0
4608791, 2004-6-01,44,10655,123.67,16845.01,0
4608791, 2004-9-01,122,20106,132,17830.67,0
4608791, 2004-11-01,153,23127,122.34,14345.67,0
4608791, 2005-3-01,227,31774,105.33,12706.34,0
4608791, 2005-6-01,293,46386,109.67,18179.67,0
4608791, 2005-9-01,423,126801,172,47907,0
4608791, 2005-11-01,539,229576,226,83770.67,0
4608791, 2006-3-01,628,298500,278.67,109226.66,1
4608791, 2006-6-01,955,424895,410.34,154725.67,0
4608791, 2006-9-01,866,395267,437.34,167413.33,0
4608791, 2006-11-01,806,329929,468.34,176154.33,0
4608791, 2007-3-01,711,238722,509.34,183530.67,0
4608791, 2007-6-01,514,256841,523.67,222937.67,0
4608791, 2007-9-01,427,434238,536.66,302196.01,0
4608791, 2007-11-01,372,422251,530.66,305890.67,0
4608791, 2008-3-01,286,425440,527.01,313967,0
4608791, 2008-6-01,241,416913,510.67,311845.33,0
4608791, 2008-9-01,137,62620,461,291798.33,0
4608791, 2008-11-01,149,65191,420.33,263896.66,0
4608791, 2009-3-01,217,55672,394,237698.33,0
4608791, 2009-6-01,269,69462,325.67,207613.33,0
4608791, 2009-9-01,260,67153,268.67,185546,0
4608791, 2009-11-01,241,60107,241.01,176250.34,0
4608791, 2010-3-01,131,33233,193,166755.66,0
4608791, 2010-6-01,25,5986,171.67,162667.67,0
4608791, 2010-9-01,0,0,129.99,42053.33,0
4608791, 2010-11-01,0,0,123.67,40291.67,0
4608791, 2011-3-01,0,0,100,25538.33,0
4608791, 2011-6-01,0,0,93.67,24135,0
4608791, 2011-9-01,0,0,86.66,22384.33,0
4608791, 2011-11-01,0,0,80.33,20035.67,0
4608791, 2012-3-01,0,0,43.66,11077.67,0
4608791, 2012-6-01,0,0,8.33,1995.33,0
4608791, 2012-9-01,0,0,0,0,0
4608791, 2012-11-01,0,0,0,0,0
